kata,terjemahan,penjelasan_arti,contoh
Abek,bambu dan sejenisnya,kata benda (kb),'tinggi lalu batang abek iye' (tinggi sekali batang bambu itu)
Ambek,ambil,kata kerja (kk). Turunan: ambekkkan (ambilkan); ngambek (mengambil),'ambek duit dalam laci yo' (ambil duit dalam laci itu)
Ampak,kunyah,kata kerja (kk). Turunan: ngampak (mengunyah),'ape kau ampak ye' (apa yang kamu kunyah)
Ape,apa,kata tanya (kt),'ape ye' (apa itu)
Bulak,bohong; bual; dusta,kata sifat (ks). Turunan: pembulak (pembohong),'kau bulak i' (kamu bohong ya)
Babal,bebal; bodoh; sulit mengerti; sulit paham,kata sifat (ks),'babal lalu' (bodoh sekali)
Basak,tidak kering; basah,kata sifat (ks). Turunan: basaek (membasahi),'bajuku basak kanak aek' (bajuku basah kena air)
Batol,benar; betul; tidak salah,kata sifat (ks). Turunan: batolkan (kk) membetulkan; memperbaiki; merenovasi,'dah batol' (sudah benar)
Biak,mereka; anak-anak,kata benda (kb). Turunan: makbiak (istri),'kemane biak tok' (kemana mereka ya)
Cantek,cantik; indah; mempesona; anggun; menarik,kata sifat (ks),'cantek inyan die' (cantik sekali dia)
Canting,cawan; centong; gayung; penakar beras,kata benda (kb),'canting untok mandek' (gayung untuk mandi)
Carat,pengen; ingin; menginginkan; keinginan,kata sifat (ks),'carat aku dengan motor iye' (aku pengen motor itu)
Ceret,teko; wadah menyimpan air; alat penuang air,kata benda (kb),'ceret ku mane i' (teko ku mana ya)
Daan,tidak,,'daan nak ke pasar ke' (tidak mau ke pasar?)
Danggol,kayu alas yang melintang,kata kerja (kk). Turunan: tedanggol (tersandung),"'gare-gare tedanggol ke kayu iye, sampai terantak aku ke tanah' (gara-gara tersandung kayu itu, aku sampai terjerembab ke tanah)"
Dise',tidak ada; kosong,kata sifat (ks),'disek biak sitok' (mereka tidak ada disini)
Dolok,dulu; masa lalu; hal yang sudah terjadi,kata sifat (ks),'dolok we aku' (dulu aku)
Dalu,larut malam,kata sifat (ks),"'dah dalu tok, tidok udek' (sudah larut malam, segera tidur)"
Dakok,peluk; rangkul,kata kerja (kk). Turunan: bedakok (berpelukan),'teletubis iye bedakok' (teletubis itu berpelukan)
Elak,hindari; elak,kata kerja (kk). Turunan: ngelak (menghindar),"'bola hamper kanak aku, untong aku ngelak' (bola itu hampir mengenaiku, untung saja aku mengelak)"
Gare,agar; supaya,kata kerja (kk). Turunan: gare-gare (gara-gare),"'makan sayok we supaye sehat' (makan sayur, agar sehat)"
Gadoh,repot; berisik,kata sifat (ks). Turunan: ngadohek (merepotkan),'maaf mun kamek ngadohek urang nak ang tok' (maaf kalau kami cuma merepotkan orang)
Gerete,sepeda,kata benda (kb). Turunan: begerete (bersepeda),'gerete sape ye' (sepeda siapa itu)
Hangas,ngos-ngosan,kata sifat (ks),'hangas lakak becacak tok we' (ngos-ngosan habis berlari)
Insanak,keluarga; sanak keluarga,kata benda (kb),'insanak mu ke ye' (apakah dia keluargamu)
Indak,tidak; enggan; tak mau,kata sifat (ks),'indak aku geye e' (aku tidak mau begitu)
