kata,terjemahan,penjelasan_arti,contoh
Abe',Bambu,,
Alik,Kebun yang banyak rumputnya; menjadi sempit karena terhalangi barang atau orang,,
Aling,Takaran beras yang terbuat dari tempurung,,
Ampang,Anak hasil hubungan gelap yang tidak mempunyai ayah; anak haram,,
Aksi,Perlente; necis,,
Ampek,Senggama,,
Ancik,Senggama,,
Antah,Butiran padi dalam beras,,
Antol,Di dekat,,'antol iye' (di dekat itu)
Apan,Panci,,
Arong,Rawa; dataran rendah,,
Asa',Tidak jadi,,
Aso',Anjing,,
Awa',Bisu,,
Awar,Musim penyakit; wabah,,
Babak,Singkap,,
Bageng,Koreng yang tidak sembuh-sembuh,,
Bantat,"Terisi penuh, tidak ada ruang kosong",,
Bangam,Bau apek,,
Bandong,Ubi kayu,,
Basut,Ketapel; sesuatu yang memukul atau bergerak karena daya pegas,,
Bating,Gundukan pasir atau lumpur yang muncul di laut atau muara sungai,,
Belampar,Bertebaran di tanah atau di lantai,,
Bele,Bela; kata seru untuk menunjukkan kekaguman pada sesuatu yang banyak atau besar,,
Berapi,Memasak nasi,,
Beranyi,Panen padi,,
Baka',Bakul berukuran besar yang biasanya terbuat dari anyaman bambu,,
Bisang,Sumbing,,
Bogoh,Luwak,,
Bongka',Manja; rewel,,
Botak,Gundul,,
Bular,Buta,,
Bunto',Busuk,,
Burik,Pantat,,
Butoh,Penis,,
Cagat,Tegak lurus; terpancang,,
Cape',Sebuah kepercayaan mencicipi makanan yang ditawarkan untuk menghindari kecelakaan,,
Canggar,Ereksi,,
Cangkit,Bekas pada kulit akibat tekanan atau ikatan yang lama,,
Canting,Kaleng berbentuk bundar,,
Ciramut,Cantik dan mungil,,
Culik,Penculik; alat memasak yang digunakan untuk mengaduk masakan,,
Cuer-cuer,,,
Calong,"Limau calong, jeruk kecil yang rasanya sangat asam",,
Gabok,Tempayan kecil,,
Gadoh,Gaduh; keruh; kalut,,
Gatah,Getah; hasil olahan karet berupa lembaran berbentuk persegipanjang,,
Gombeng,Buah atau benda yang tidak utuh lagi karena digigit,,
Guring,Berbaring,,
Hem,Rok,,
Ito',Ini,,
Inun,Itu,,
Iye,Iya; itu,,
Incarut,Berbicara kotor (tentang sex),,
Insanak,Keluarga,,
Jajak,Sampai,,
Janto',Memungut buah yang jatuh,,
Jengkat,Pincang,,
Jope,Mengapa,,
Jonga',Gigi yang menonjol ke depan,,
Julau,Penglihatan yang kurang baik,,
Jungang,Bibir monyong akibat pembengkakan,,
Kaba',Membuat atau membangun sesuatu tapi gagal atau tidak jadi,,
Kalintiak,Ketiak,,
Kalu,Mungkin,,
Kapa',Capek,,
Kape',Penyok,,
Karai,Kering dan tercerai (biasanya pada nasi),,
Kasang,Perasaan marah campur malu,,
Katam,Alat untuk memotong tangkai padi; alat untuk melicinkan permukaan kayu,,
Kater-kater,Mengibaskan kaki karena kesakitan,,
Kato',Celana pendek,,'kato' kolor' (celana kolor)
Kedadasan,Kebelet,,
Kelambong,Gelembung; balon,,
Kelek-kelek,Ujung sesuatu bergerak tapi pangkal tetap di tempat,,
Keponan,Sebuah kepercayaan bahwa kecelakaan disebabkan karena tidak mencicipi makanan yang ditawarkan,,
Keraok,Teriak,,
Kutong,"Tangan, kaki, atau jari yang menjadi pendek akibat cacat atau terpotong",,
Lagum,Meriam mainan dengan bahan bakar minyak tanah atau karbit,,
Lamber,Turun ke bawah karena tidak lagi kencang; membesar karena tidak lagi elastis,,
Lampam,Tembem,,
Lampus,Kedalaman air di atas kepala,,
Landas,"Musim hujan, angin kencang, dan gelombang besar di daerah pantai (musim landas)",,
Lantek,Lentik,,
Lawang,Pintu,,
Licak,Sangat lembek,,
Lupak,Kubangan,,
Mahat,Kuku yang rusak atau membusuk,,
Matak,Bermain di air parit atau sungai; tenggelam dalam kubangan atau lumpur; berdiam diri dalam rumah,,
Matek,,,
Meraning,Mengkilat,,
Meluak,Luka atau koreng yang makin membesar,,
Misak,Membuat lobang atau rekahan menjadi lebih lebar,,
Mumut,Lapuk,,
Mancit,Muncrat,,
Najor,Memancing ikan dengan cara pancing ditinggalkan,,
Nangkal,Menyadap pohon karet untuk memperoleh getah,,
Nanggok,Mencari ikan menggunakan alat tangguk,,
Nggarap,Menebak,,
Ngaboh,Bermain atau berenang di parit atau sungai,,
Ngelambong,Menggelembung,,
Ngelewer,Longgar,,
Ngerape',Ngeracau; berbicara asal-asalan,,
Ngeramput,Sama dengan ngerape',,
Ngerisut,Mengeriput,,
Ngijat,Mengedipkan mata sebelah,,
Nogo',"Diam di tempat, tidak kemana-mana; tidak bekerja, menganggur",,
Numak,Nasi yang tidak masak sempurna,,
Ngurat,Melakukan pendekatan kepada gadis atau pemuda yang disukai,,
Nyunyut,Elastis,,
Nyiro',Alat untuk menampi beras yang terbuat dari anyaman bambu,,
Padda',Lauk dari hasil fermentasi udang rebon,,
Panar,Silau,,
Paning,Pening; sinting,,
Pangkong,Pukulan menggunakan tongkat atau benda yang keras dan besar,,
Pantong,Tendang,,
Parak,Hancur,,
Perangka'an,Selangkangan,,
Peneget,Penculik yang memotong leher korbannya untuk sesajen,,
Picak,Pesek,,
Picik,Pencet; pijit,,
Pitok,Sudut,,
Ponjen,Kantong dari kain untuk menyimpan uang atau emas pada jaman dulu,,
Punggong,Paha,,
Puke',Vagina,,
Ratah,Makan lauk atau sesuatu dalam jumlah banyak,,
Ratas,Mudah koyak,,
Ratong,Benar-benar hangus hingga hanya tersisa arang,,
Rimpat,Cambuk; pukulan menggunakan kayu kecil atau rotan,,
Ronga',Ompong,,
Rongos,Brewok,,
Rodong,Laki-laki yang mencintai laki-laki; gay,,
Royah,Luka atau koyak yang besar,,
Ruan,Ikan gabus,,
Ranyok,Baju atau kain yang kusut,,
Sallak,Orang yang mau makan apa saja,,
Sapo',,,
Se'an,Tidak ada,,
Semah,Sesajen,,
Simoreng,"Wajah yang kotor oleh arang, lumpur, atau ingus",,
Simpak,Tidak utuh atau hilang sebagian karena pecah,,
Simper,Potongan pinggiran,,
Singgarapan,Permainan tebak-tebakan,,
Sirampah,Terjatuh ke depan ketika berjalan atau berlari,,
Sodah,Tidak usah; jangan,,
Somet,Kumis,,
Sondok,Kunci dari kayu,,
Sorang,Sendiri,,
Sulah,Botak,,
Tagum,Memukul punggung dengan tangan digenggam,,
Takat,Rapatkan; kunci,,
Tambe,Obat,,
