kata,terjemahan,penjelasan_arti,contoh
Babbang,Bodoh,Turunan: Kebabangan (Bodoh),
Beragi,Gosip-gosipan,,
Beram,Parit,,
Bahlol,Bodoh {kasar},,
Berawe,Angkuh; Sok,,
Bahbal,Bola kaki utk ditendang,,
Berelon,Sangat asyik menemani orang berbicara,,
Bahpal,Kelereng,,
Bajjang,Menarik/membentangkan benda elastis,,
Beririk,Berjalan beriringan,,
Beselili,Berputar disekeliling kita,,
Bakong,Enceng gondok,,
Beselusor / Bejelujor,Menelusuri asal usul,,
Balu,Janda / Duda,,
Bandong,Ubi kayu,,
Besumpik,Tidak sama sekali {halus},,
Bangan,Makan bertaburan,,
Besumpik,Bermain sumpit,,
Banggal (bengal),Susah dibilangin,Turunan: Minggal (Susah dibilangin),
Besundang,Bolak – balik terus (dari jarak yang cukup jauh),,
Bangkong,Perahu besar,,
Biak,Anak (berusia belia),,
Bannyai,Rusak parah,,
Bigge',Biji,,
Batel,Media pengukur volume,,
Birrah,Genit / suka berfikiran mesum,,
Battole'k (betulkan),Perbaiki,,
Bintirah,Nama panggilan untuk orang birrah,,
Baus,Bosan,,
Bayya'-bayya',Ungkapan untuk sesuatu yang wah,,
Bogoh,Orang yang kuat makan,,
Bogoh,Binatang luwak,,
Bedangkek,Saling menindih / bersenggama,,
Bomo,Dukun santet,,
Bopet,Lemari,,
Bedangnge',Kena lemparan,,
Buai,Lembut / mudah patah,,
Bedangkang,Panas terik,,
Bulla'k,Bohong,Turunan: Bullae'k (Bohong),
Begeluyyut,Bergelantungan,,
Bejelujut,Buah yang bergelumut,,
Bullar,Mata rusak sebelah,,
Bejibun,Ramai orang,,
Burrik,Pantat / bokong,,
Bejubel,Ramai orang rebutan,,
Burru,Mengusir,,
Bekanda',Kiasan untuk orang yang selingkuh / main serong,,
Bajoh,Jenuh,,
Bejanjang,Bepergian,,
Bekumbah / Bekumba'k,Main lumpur,,
Belampang,Berbunyi nyaring; Tempeleng,,
Bekumbo',Menututupi diri dengan kain,,
Begummol,Begerumul / Berantem,,
Buttoh,Kelamin pria,Turunan: Buttoh lalang (Kelamin pria),
Belabbik,Terjatuh dari atas,,
Belle,Luar biasa / wah / mantap,,
Bantangan,Pembatas yang melintang,,
Belonngo'k,Banyak hingga bertumpuk-tumpuk,,
Bandungan,Parit besar,,
Botak,Rambut yang dipotong pendek,,
Belungkur,Tikar pandan,,
Belaran / beraran,Sesuatu yang berbentuk bulat panjang dan lembut,,
Baddab,Lemparan bola yang tepat sasaran,,
Beraran parrut,Usus,,
Babbal,Lambat memahami / bodoh,Turunan: Kebabalan (Lambat memahami / bodoh),
Besangor,Tidur berdengkur,,
Bareng,Tempat menyajikan nasi,,
Balang,Belalang,,
Baki,Tempat membawa nasi dan lauk-pauknya secara bersamaan / talam makanan,,
Bantat,Tersumbat,Turunan: Bodo bantat (Terlalu bodoh),
Berot,Miring,Turunan: Teberot (Menjadi miring),
Birrong,Miring dan monyong,Turunan: Tebirrong (Muka yang dibikin miring dan monyong),
Barro'k,Baru,Turunan: Barrok' semari (Baru kemarin),
Bajjoh,Bosan,,
Bantai,Pukul / hajar,,
Baccup,Ungkapan untuk menarik kembali ucapan atau pemberian yang sudah terlanjur,,
Beranyi,Panen padi,,
Baka',Media besar yang terbuat dari anyaman bambu,,
Bakol,Sama seperti baka' hanya saja berbentuk kecil,,
Batto',Luka bakar / sakit karena panas api,,
Bangsat,Main curang,,
Buntut,Ekor; sebelum terakhir,,
Bulak - belungking,Jungkir-balik,,
Baasi,Kadaluarsa,,
Boge',Bodoh,,
Bunto',Bau busuk,,
Battok,Salah satu ikan air tawar,,
Booto'k,Makanan olahan yang di masak dan bungkus dengan daun berlapis-lapis,,
Borong,Satuan ukuran luas,Turunan: Seborong tanah (Tanah seluas 1/6 Ha2); Seperapat borong (1/4 borong); Tige perapat (3/4 (tiga per empat)),
Borok / Mborok,Memboyong habis,,
Baoh,,Turunan: Basa' baoh (Basah kuyup),
Butta',Buta,,
Butte,Hantu mata sapi,Turunan: Antu butte,
Banyyai,,Turunan: Tebanyyai,
Betassi',Banyak beriringan,,
Babbas,Membuka dengan mengiris,Turunan: Tebabbas (Terbuncai),
Buncai,,Turunan: Tebuncai,
Beterembelan,Banyak bertempelan,,
Bolos,,,
Buang,Lempar; lepaskan,Turunan: Tebuang (Terjatuh dari atas),
Balalle',Bergantian,,
Bannas,Sampah sungai,,
Burok sikko',Buruk siku karena kualat,,
Banne'an,Di bawah pusar; meminta kembali pemberian,,
Bujjor / Kojor,Bujur / Lurus,,
Bale,Nakal,,
Bagaikan,Seperti,,
Begajjik,Bergetar,,
Bahari,Sore,Turunan: Simbaharian (Dari pagi sampai sore); Baharian,
Bassar panjang,Besar dan tinggi,,
Banggam,Bau busuk badan,,
Bau ari,Bau keringat kering,,
Bunggas,Utuh seperti sedia kala,,
Bangar,Bau cairan yang sudah lama tersimpan / bau comberan,,
Barraw,Buah yang sangat matang,,
Bicut,Benjol,,
Belabau,Memukul tanpa jurus,,
Betatap,Meraba-raba didalam gelap,,
Bubbu,Kurungan / penjara ikan,,
Bahenol,Pantat gadis yang montok dan bergoyang-goyang saat berjalan,,
Babo',Jangan sampai,,
Bejejel / bejubel,Berjejal / ramai kerumunan orang,,
Cacau,Kacau,,
Capal,Sendal,,
Cacca',Lari,Turunan: Becacca' (Lari),
Capel,Caping / topi lebar untuk kesawah,,
Caggah,Cegah / mencegah,,
Cappel / Penyappel,Alas untuk memindahkan barang yang masih panas,,
Caggat,Tegak / berdiri keatas,,
Cakkaler,Laron,,
Carrat,Ingin / Kepingin / Maunya,Turunan: Incaratte' (Ingin / Kepingin / Maunya),
Canggar,Mengeras / Ereksi,,
Camma',Menahan malu karena salah,,
Cecer,Jatuh tertinggal,Turunan: Bececeran (jatuh tertinggal); Belaceran (Jatuh bergelimpangan),
Cam na' / Macam na',Seperti,,
Cibbik,Menjinjing,,
Coco',Kelamin perempuan,,
Cance,Cemilan khas sambas yang terbuat dari padi,,
Meloco',Onani,,
Cuccok,Tusuk,,
Ceper,Nampan / berbentuk tipis dan lebar,,
Cucco'k,Cucu,,
Cerewet,Susah diajak,,
Ceramut,Cantik / tampan,,
Cuttam,Pingsan / tidak sadarkan diri,,
Cerobo',Jorok,,
Cerocok,Pagar penahan,,
Conom,Mata terfokus,Turunan: Teconom (Melotot),
Canggang,Tercengang,Turunan: Ticanggang (Ternganga keheranan karena kagum / takjub),
Caddok / kaddok,Dahi yang menjorok kedalam,,
Da'an,Tidak,,
Dalu,Larut Malam,,
Da'an kelada'an,Tidak terasa,,
Dolo'k,Dulu / Dahulu,,
Da'an meladde,Tidak sadar,,
Disse',Tidak ada,,
Dak Semanggah,Sembrono,,
Dappot,Warung kecil,,
Dare,Panggilan untuk gadis belia,Turunan: Nak dare (Panggilan untuk gadis belia),
Dako',Peluk,Turunan: Bedako (Berpelukan),
Dappak,Depa / sepanjang sebelah tangan,,
Darat,Daerah hulu / jauh dari muara,,
